timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/04 21:01:07.607, 41 %, 9963 MiB, 145.37 W
2026/09/04 21:01:09.608, 91 %, 9963 MiB, 173.32 W
2026/09/04 21:01:11.608, 17 %, 9963 MiB, 143.97 W
2026/09/04 21:01:13.609, 22 %, 9963 MiB, 96.24 W
2026/09/04 21:01:15.609, 23 %, 9963 MiB, 99.47 W
2026/09/04 21:01:17.609, 38 %, 9963 MiB, 138.12 W
2026/09/04 21:01:19.610, 97 %, 9963 MiB, 153.65 W
2026/09/04 21:01:21.610, 61 %, 9963 MiB, 174.42 W
2026/09/04 21:01:23.610, 20 %, 9963 MiB, 117.37 W
2026/09/04 21:01:25.611, 22 %, 9963 MiB, 97.00 W
2026/09/04 21:01:27.611, 11 %, 9963 MiB, 95.70 W
2026/09/04 21:01:29.612, 93 %, 9963 MiB, 165.83 W
2026/09/04 21:01:31.612, 68 %, 9963 MiB, 166.51 W
2026/09/04 21:01:33.612, 45 %, 9963 MiB, 189.18 W
2026/09/04 21:01:35.613, 21 %, 9963 MiB, 112.46 W
2026/09/04 21:01:37.613, 11 %, 9963 MiB, 95.36 W
2026/09/04 21:01:39.613, 24 %, 9963 MiB, 113.29 W
2026/09/04 21:01:41.614, 87 %, 13497 MiB, 158.41 W
2026/09/04 21:01:43.614, 78 %, 13497 MiB, 187.53 W
2026/09/04 21:01:45.614, 19 %, 13497 MiB, 139.13 W
2026/09/04 21:01:47.615, 12 %, 13497 MiB, 93.31 W
2026/09/04 21:01:49.615, 23 %, 13497 MiB, 100.23 W
2026/09/04 21:01:51.616, 77 %, 13497 MiB, 154.03 W
2026/09/04 21:01:53.616, 89 %, 13497 MiB, 170.47 W
2026/09/04 21:01:55.616, 90 %, 13497 MiB, 171.36 W
2026/09/04 21:01:57.617, 12 %, 13497 MiB, 114.19 W
2026/09/04 21:01:59.617, 22 %, 13497 MiB, 98.01 W
2026/09/04 21:02:01.617, 81 %, 13497 MiB, 151.43 W
2026/09/04 21:02:03.618, 99 %, 13497 MiB, 163.89 W
2026/09/04 21:02:05.618, 97 %, 13497 MiB, 181.75 W
2026/09/04 21:02:07.619, 14 %, 13497 MiB, 114.12 W
2026/09/04 21:02:09.619, 67 %, 13497 MiB, 136.61 W
2026/09/04 21:02:11.619, 100 %, 13497 MiB, 167.47 W
2026/09/04 21:02:13.620, 100 %, 13497 MiB, 193.40 W
2026/09/04 21:02:15.620, 61 %, 13497 MiB, 192.25 W
2026/09/04 21:02:17.620, 98 %, 13497 MiB, 182.56 W
2026/09/04 21:02:19.621, 99 %, 13497 MiB, 173.65 W
2026/09/04 21:02:21.621, 90 %, 13497 MiB, 178.09 W
2026/09/04 21:02:23.621, 20 %, 13497 MiB, 118.75 W
2026/09/04 21:02:25.622, 23 %, 13497 MiB, 99.44 W
2026/09/04 21:02:27.622, 19 %, 13497 MiB, 97.16 W
2026/09/04 21:02:29.622, 76 %, 13497 MiB, 160.46 W
2026/09/04 21:02:31.623, 75 %, 13497 MiB, 179.21 W
2026/09/04 21:02:33.623, 100 %, 13497 MiB, 175.94 W
2026/09/04 21:02:35.623, 22 %, 13497 MiB, 107.30 W
2026/09/04 21:02:37.624, 19 %, 13497 MiB, 94.57 W
2026/09/04 21:02:39.624, 99 %, 13497 MiB, 167.61 W
2026/09/04 21:02:41.624, 98 %, 13497 MiB, 161.60 W
2026/09/04 21:02:43.625, 98 %, 13497 MiB, 173.61 W
2026/09/04 21:02:45.625, 64 %, 13497 MiB, 181.77 W
2026/09/04 21:02:47.625, 98 %, 13497 MiB, 164.79 W
2026/09/04 21:02:49.626, 94 %, 13497 MiB, 173.19 W
2026/09/04 21:02:51.626, 20 %, 13497 MiB, 161.40 W
2026/09/04 21:02:53.626, 22 %, 13497 MiB, 100.34 W
2026/09/04 21:02:55.627, 24 %, 13497 MiB, 101.40 W
2026/09/04 21:02:57.627, 70 %, 17145 MiB, 138.92 W
2026/09/04 21:02:59.627, 93 %, 17145 MiB, 156.16 W
2026/09/04 21:03:01.628, 86 %, 17145 MiB, 171.48 W
2026/09/04 21:03:03.628, 19 %, 17145 MiB, 114.81 W
2026/09/04 21:03:05.628, 21 %, 17145 MiB, 96.17 W
2026/09/04 21:03:07.629, 13 %, 17145 MiB, 94.56 W
2026/09/04 21:03:09.629, 100 %, 17145 MiB, 161.55 W
2026/09/04 21:03:11.630, 93 %, 17145 MiB, 158.03 W
2026/09/04 21:03:13.630, 97 %, 17145 MiB, 189.88 W
2026/09/04 21:03:15.630, 70 %, 17145 MiB, 170.13 W
2026/09/04 21:03:17.631, 99 %, 17145 MiB, 176.69 W
2026/09/04 21:03:19.631, 99 %, 17145 MiB, 198.29 W
2026/09/04 21:03:21.632, 74 %, 17145 MiB, 187.77 W
2026/09/04 21:03:23.632, 100 %, 17145 MiB, 171.55 W
2026/09/04 21:03:25.633, 98 %, 17145 MiB, 202.81 W
2026/09/04 21:03:27.633, 72 %, 17145 MiB, 195.88 W
2026/09/04 21:03:29.633, 100 %, 17145 MiB, 174.74 W
2026/09/04 21:03:31.634, 100 %, 17145 MiB, 207.32 W
2026/09/04 21:03:33.634, 73 %, 17145 MiB, 188.92 W
2026/09/04 21:03:35.635, 99 %, 17145 MiB, 174.60 W
2026/09/04 21:03:37.635, 99 %, 17145 MiB, 195.88 W
2026/09/04 21:03:39.636, 73 %, 17145 MiB, 190.56 W
2026/09/04 21:03:41.636, 100 %, 17145 MiB, 172.12 W
2026/09/04 21:03:43.637, 99 %, 17145 MiB, 187.97 W
2026/09/04 21:03:45.637, 75 %, 17145 MiB, 200.82 W
2026/09/04 21:03:47.637, 99 %, 17145 MiB, 172.10 W
2026/09/04 21:03:49.638, 99 %, 17145 MiB, 191.32 W
2026/09/04 21:03:51.638, 75 %, 17145 MiB, 200.03 W
2026/09/04 21:03:53.639, 99 %, 17145 MiB, 172.54 W
2026/09/04 21:03:55.639, 99 %, 17145 MiB, 192.84 W
2026/09/04 21:03:57.639, 76 %, 17145 MiB, 216.46 W
2026/09/04 21:03:59.640, 100 %, 20973 MiB, 178.50 W
2026/09/04 21:04:01.640, 99 %, 20973 MiB, 198.28 W
2026/09/04 21:04:03.641, 73 %, 20973 MiB, 210.09 W
2026/09/04 21:04:05.641, 99 %, 20973 MiB, 177.76 W
2026/09/04 21:04:07.642, 99 %, 20973 MiB, 202.42 W
2026/09/04 21:04:09.642, 72 %, 20973 MiB, 213.32 W
2026/09/04 21:04:11.643, 100 %, 20973 MiB, 175.02 W
2026/09/04 21:04:13.643, 100 %, 20973 MiB, 195.06 W
2026/09/04 21:04:15.644, 71 %, 20973 MiB, 208.43 W
2026/09/04 21:04:17.644, 100 %, 20973 MiB, 174.17 W
2026/09/04 21:04:19.644, 100 %, 20973 MiB, 197.48 W
2026/09/04 21:04:21.645, 73 %, 20973 MiB, 224.04 W
2026/09/04 21:04:23.645, 99 %, 6675 MiB, 183.71 W
2026/09/04 21:04:25.646, 99 %, 12513 MiB, 188.27 W
2026/09/04 21:04:27.646, 76 %, 12519 MiB, 223.41 W
2026/09/04 21:04:29.646, 99 %, 12519 MiB, 194.14 W
2026/09/04 21:04:31.647, 99 %, 12519 MiB, 184.60 W
2026/09/04 21:04:33.647, 99 %, 12519 MiB, 226.35 W
2026/09/04 21:04:35.647, 100 %, 12519 MiB, 190.97 W
2026/09/04 21:04:37.648, 100 %, 12519 MiB, 187.48 W
2026/09/04 21:04:39.648, 77 %, 12519 MiB, 212.72 W
2026/09/04 21:04:41.649, 99 %, 12519 MiB, 185.47 W
2026/09/04 21:04:43.649, 99 %, 12519 MiB, 182.69 W
2026/09/04 21:04:45.650, 70 %, 12519 MiB, 213.15 W
2026/09/04 21:04:47.650, 99 %, 12519 MiB, 187.90 W
2026/09/04 21:04:49.651, 99 %, 12519 MiB, 180.19 W
2026/09/04 21:04:51.651, 79 %, 12519 MiB, 217.80 W
2026/09/04 21:04:53.651, 99 %, 12519 MiB, 193.61 W
2026/09/04 21:04:55.652, 99 %, 12519 MiB, 191.70 W
2026/09/04 21:04:57.652, 97 %, 12519 MiB, 226.68 W
2026/09/04 21:04:59.653, 100 %, 12519 MiB, 196.00 W
2026/09/04 21:05:01.653, 100 %, 12519 MiB, 184.37 W
2026/09/04 21:05:03.654, 100 %, 12519 MiB, 230.00 W
2026/09/04 21:05:05.654, 99 %, 12519 MiB, 195.55 W
2026/09/04 21:05:07.654, 99 %, 12519 MiB, 177.54 W
2026/09/04 21:05:09.655, 100 %, 12519 MiB, 223.66 W
2026/09/04 21:05:11.655, 99 %, 12519 MiB, 197.32 W
2026/09/04 21:05:13.656, 99 %, 12519 MiB, 178.15 W
2026/09/04 21:05:15.656, 100 %, 12519 MiB, 222.45 W
2026/09/04 21:05:17.656, 99 %, 12519 MiB, 193.45 W
2026/09/04 21:05:19.657, 99 %, 12519 MiB, 176.24 W
2026/09/04 21:05:21.657, 91 %, 12519 MiB, 218.11 W
2026/09/04 21:05:23.658, 99 %, 12519 MiB, 198.10 W
2026/09/04 21:05:25.658, 99 %, 12519 MiB, 178.10 W
2026/09/04 21:05:27.659, 98 %, 12519 MiB, 218.84 W
2026/09/04 21:05:29.659, 99 %, 12519 MiB, 195.40 W
2026/09/04 21:05:31.659, 99 %, 12519 MiB, 175.49 W
2026/09/04 21:05:33.660, 99 %, 12519 MiB, 211.49 W
2026/09/04 21:05:35.660, 99 %, 12519 MiB, 198.85 W
2026/09/04 21:05:37.661, 100 %, 12519 MiB, 175.18 W
2026/09/04 21:05:39.661, 91 %, 12519 MiB, 209.41 W
2026/09/04 21:05:41.662, 100 %, 12519 MiB, 194.31 W
2026/09/04 21:05:43.662, 99 %, 12519 MiB, 171.52 W
2026/09/04 21:05:45.663, 91 %, 12519 MiB, 208.42 W
2026/09/04 21:05:47.663, 99 %, 12519 MiB, 190.82 W
2026/09/04 21:05:49.664, 99 %, 12519 MiB, 173.39 W
2026/09/04 21:05:51.664, 100 %, 12519 MiB, 222.82 W
2026/09/04 21:05:53.664, 99 %, 12519 MiB, 195.97 W
2026/09/04 21:05:55.665, 99 %, 12519 MiB, 177.01 W
2026/09/04 21:05:57.665, 91 %, 12519 MiB, 225.19 W
2026/09/04 21:05:59.666, 99 %, 12519 MiB, 200.10 W
2026/09/04 21:06:01.666, 99 %, 12519 MiB, 175.23 W
2026/09/04 21:06:03.667, 91 %, 12519 MiB, 223.08 W
2026/09/04 21:06:05.667, 100 %, 12519 MiB, 205.60 W
2026/09/04 21:06:07.667, 99 %, 12519 MiB, 180.06 W
2026/09/04 21:06:09.668, 99 %, 12519 MiB, 230.37 W
2026/09/04 21:06:11.668, 99 %, 12519 MiB, 205.82 W
2026/09/04 21:06:13.669, 100 %, 12519 MiB, 177.01 W
2026/09/04 21:06:15.669, 100 %, 12519 MiB, 231.09 W
2026/09/04 21:06:17.670, 97 %, 12519 MiB, 206.53 W
2026/09/04 21:06:19.670, 99 %, 12519 MiB, 165.88 W
2026/09/04 21:06:21.671, 99 %, 12519 MiB, 233.57 W
2026/09/04 21:06:23.671, 83 %, 12519 MiB, 211.22 W
2026/09/04 21:06:25.672, 99 %, 12519 MiB, 171.19 W
2026/09/04 21:06:27.672, 100 %, 12519 MiB, 219.34 W
2026/09/04 21:06:29.673, 75 %, 12519 MiB, 209.97 W
2026/09/04 21:06:31.673, 99 %, 12519 MiB, 167.47 W
2026/09/04 21:06:33.673, 99 %, 12519 MiB, 191.13 W
2026/09/04 21:06:35.674, 81 %, 12519 MiB, 214.99 W
2026/09/04 21:06:37.674, 99 %, 12519 MiB, 169.31 W
2026/09/04 21:06:39.675, 99 %, 12519 MiB, 198.62 W
2026/09/04 21:06:41.675, 79 %, 12519 MiB, 207.43 W
2026/09/04 21:06:43.676, 99 %, 12519 MiB, 165.17 W
2026/09/04 21:06:45.676, 100 %, 12519 MiB, 203.97 W
2026/09/04 21:06:47.676, 83 %, 12519 MiB, 217.00 W
2026/09/04 21:06:49.677, 99 %, 12519 MiB, 168.09 W
2026/09/04 21:06:51.677, 99 %, 12519 MiB, 194.56 W
2026/09/04 21:06:53.678, 79 %, 12519 MiB, 211.10 W
2026/09/04 21:06:55.678, 99 %, 12519 MiB, 167.51 W
2026/09/04 21:06:57.679, 99 %, 12519 MiB, 195.16 W
2026/09/04 21:06:59.679, 79 %, 12519 MiB, 213.14 W
2026/09/04 21:07:01.679, 99 %, 12519 MiB, 168.08 W
2026/09/04 21:07:03.680, 98 %, 12519 MiB, 203.08 W
2026/09/04 21:07:05.680, 80 %, 12519 MiB, 220.05 W
2026/09/04 21:07:07.681, 99 %, 12519 MiB, 172.23 W
2026/09/04 21:07:09.681, 100 %, 12519 MiB, 213.89 W
2026/09/04 21:07:11.681, 80 %, 12519 MiB, 218.79 W
2026/09/04 21:07:13.682, 99 %, 12519 MiB, 170.10 W
2026/09/04 21:07:15.682, 100 %, 12519 MiB, 212.33 W
2026/09/04 21:07:17.683, 75 %, 12519 MiB, 206.69 W
2026/09/04 21:07:19.683, 99 %, 12519 MiB, 167.08 W
2026/09/04 21:07:21.684, 98 %, 12519 MiB, 207.06 W
2026/09/04 21:07:23.684, 80 %, 12519 MiB, 222.12 W
2026/09/04 21:07:25.684, 99 %, 12519 MiB, 169.86 W
2026/09/04 21:07:27.685, 100 %, 12519 MiB, 213.89 W
2026/09/04 21:07:29.685, 79 %, 12519 MiB, 214.01 W
2026/09/04 21:07:31.686, 99 %, 12519 MiB, 168.19 W
2026/09/04 21:07:33.686, 98 %, 12519 MiB, 214.51 W
2026/09/04 21:07:35.687, 77 %, 12519 MiB, 204.50 W
2026/09/04 21:07:37.687, 99 %, 12519 MiB, 169.95 W
2026/09/04 21:07:39.688, 100 %, 12519 MiB, 205.57 W
2026/09/04 21:07:41.688, 79 %, 12519 MiB, 213.00 W
2026/09/04 21:07:43.688, 99 %, 12519 MiB, 166.67 W
2026/09/04 21:07:45.689, 99 %, 12519 MiB, 205.59 W
2026/09/04 21:07:47.689, 79 %, 12519 MiB, 212.13 W
2026/09/04 21:07:49.690, 99 %, 12519 MiB, 172.89 W
2026/09/04 21:07:51.690, 99 %, 12519 MiB, 197.19 W
2026/09/04 21:07:53.691, 79 %, 12519 MiB, 214.74 W
2026/09/04 21:07:55.691, 99 %, 12519 MiB, 170.90 W
2026/09/04 21:07:57.692, 99 %, 12519 MiB, 212.59 W
2026/09/04 21:07:59.692, 78 %, 12519 MiB, 211.42 W
2026/09/04 21:08:01.692, 99 %, 12519 MiB, 178.08 W
2026/09/04 21:08:03.693, 99 %, 12519 MiB, 205.77 W
2026/09/04 21:08:05.693, 77 %, 12519 MiB, 206.50 W
2026/09/04 21:08:07.694, 99 %, 12519 MiB, 176.10 W
2026/09/04 21:08:09.694, 99 %, 12519 MiB, 200.22 W
2026/09/04 21:08:11.695, 76 %, 12519 MiB, 200.40 W
2026/09/04 21:08:13.695, 99 %, 12519 MiB, 177.78 W
2026/09/04 21:08:15.696, 99 %, 12519 MiB, 198.93 W
2026/09/04 21:08:17.696, 76 %, 12519 MiB, 201.65 W
2026/09/04 21:08:19.696, 99 %, 12519 MiB, 173.55 W
2026/09/04 21:08:21.697, 99 %, 12519 MiB, 195.17 W
2026/09/04 21:08:23.697, 78 %, 12519 MiB, 209.53 W
2026/09/04 21:08:25.698, 99 %, 12519 MiB, 182.33 W
2026/09/04 21:08:27.698, 99 %, 12519 MiB, 204.30 W
2026/09/04 21:08:29.699, 74 %, 12519 MiB, 193.02 W
2026/09/04 21:08:31.699, 99 %, 12519 MiB, 173.47 W
2026/09/04 21:08:33.699, 99 %, 12519 MiB, 191.66 W
2026/09/04 21:08:35.700, 75 %, 12519 MiB, 200.35 W
2026/09/04 21:08:37.700, 100 %, 12519 MiB, 171.80 W
2026/09/04 21:08:39.700, 99 %, 12519 MiB, 202.54 W
2026/09/04 21:08:41.701, 79 %, 12519 MiB, 207.73 W
2026/09/04 21:08:43.701, 99 %, 12519 MiB, 172.72 W
2026/09/04 21:08:45.702, 99 %, 12519 MiB, 198.99 W
2026/09/04 21:08:47.702, 76 %, 12519 MiB, 203.64 W
2026/09/04 21:08:49.703, 99 %, 12519 MiB, 177.08 W
2026/09/04 21:08:51.703, 99 %, 12519 MiB, 193.02 W
2026/09/04 21:08:53.703, 74 %, 12519 MiB, 194.41 W
2026/09/04 21:08:55.704, 99 %, 12519 MiB, 173.55 W
2026/09/04 21:08:57.704, 99 %, 12519 MiB, 193.81 W
2026/09/04 21:08:59.705, 76 %, 12519 MiB, 202.34 W
2026/09/04 21:09:01.705, 99 %, 12519 MiB, 167.87 W
2026/09/04 21:09:03.706, 99 %, 12519 MiB, 202.61 W
2026/09/04 21:09:05.706, 75 %, 12519 MiB, 203.98 W
2026/09/04 21:09:07.707, 99 %, 12519 MiB, 174.25 W
2026/09/04 21:09:09.707, 100 %, 12519 MiB, 213.05 W
2026/09/04 21:09:11.707, 80 %, 12519 MiB, 213.08 W
2026/09/04 21:09:13.708, 99 %, 12519 MiB, 172.24 W
2026/09/04 21:09:15.708, 99 %, 12519 MiB, 199.91 W
2026/09/04 21:09:17.708, 76 %, 12519 MiB, 204.08 W
2026/09/04 21:09:19.708, 99 %, 12519 MiB, 179.84 W
2026/09/04 21:09:21.709, 99 %, 12519 MiB, 202.03 W
2026/09/04 21:09:23.709, 76 %, 12519 MiB, 205.23 W
2026/09/04 21:09:25.709, 99 %, 12519 MiB, 178.87 W
2026/09/04 21:09:27.710, 99 %, 12519 MiB, 201.60 W
2026/09/04 21:09:29.710, 77 %, 12519 MiB, 205.16 W
2026/09/04 21:09:31.710, 99 %, 12519 MiB, 180.03 W
2026/09/04 21:09:33.711, 99 %, 12519 MiB, 216.90 W
2026/09/04 21:09:35.711, 76 %, 12519 MiB, 203.83 W
2026/09/04 21:09:37.711, 100 %, 12519 MiB, 177.19 W
2026/09/04 21:09:39.712, 100 %, 12519 MiB, 218.20 W
2026/09/04 21:09:41.712, 74 %, 12519 MiB, 195.60 W
2026/09/04 21:09:43.713, 100 %, 12519 MiB, 177.33 W
2026/09/04 21:09:45.713, 99 %, 12519 MiB, 213.28 W
2026/09/04 21:09:47.713, 63 %, 12519 MiB, 180.99 W
2026/09/04 21:09:49.713, 98 %, 12519 MiB, 185.19 W
2026/09/04 21:09:51.714, 98 %, 12519 MiB, 188.61 W
2026/09/04 21:09:53.714, 62 %, 12519 MiB, 209.98 W
2026/09/04 21:09:55.715, 100 %, 12519 MiB, 192.96 W
2026/09/04 21:09:57.715, 98 %, 12519 MiB, 181.24 W
2026/09/04 21:09:59.715, 87 %, 12519 MiB, 225.52 W
2026/09/04 21:10:01.716, 69 %, 12519 MiB, 192.04 W
2026/09/04 21:10:03.716, 99 %, 12519 MiB, 171.01 W
2026/09/04 21:10:05.716, 97 %, 12519 MiB, 208.23 W
2026/09/04 21:10:07.717, 64 %, 12519 MiB, 186.30 W
2026/09/04 21:10:09.717, 99 %, 12519 MiB, 173.35 W
2026/09/04 21:10:11.717, 98 %, 12519 MiB, 200.42 W
2026/09/04 21:10:13.718, 62 %, 12519 MiB, 179.22 W
2026/09/04 21:10:15.718, 98 %, 12519 MiB, 174.06 W
2026/09/04 21:10:17.718, 98 %, 12519 MiB, 197.63 W
2026/09/04 21:10:19.719, 19 %, 12519 MiB, 145.52 W
2026/09/04 21:10:21.719, 61 %, 12519 MiB, 171.19 W
2026/09/04 21:10:23.719, 99 %, 12519 MiB, 176.01 W
2026/09/04 21:10:25.720, 32 %, 12519 MiB, 174.02 W
2026/09/04 21:10:27.720, 20 %, 12519 MiB, 172.04 W
2026/09/04 21:10:29.720, 22 %, 12519 MiB, 109.86 W
2026/09/04 21:10:31.721, 23 %, 12519 MiB, 102.48 W
2026/09/04 21:10:33.721, 77 %, 12519 MiB, 139.00 W
2026/09/04 21:10:35.721, 80 %, 12519 MiB, 158.55 W
2026/09/04 21:10:37.722, 60 %, 12519 MiB, 179.44 W
2026/09/04 21:10:39.722, 20 %, 12519 MiB, 123.01 W
2026/09/04 21:10:41.722, 22 %, 12519 MiB, 100.45 W
2026/09/04 21:10:43.723, 23 %, 12519 MiB, 104.78 W
2026/09/04 21:10:45.723, 81 %, 12519 MiB, 160.07 W
2026/09/04 21:10:47.723, 98 %, 12519 MiB, 170.71 W
2026/09/04 21:10:49.724, 66 %, 12519 MiB, 199.95 W
2026/09/04 21:10:51.724, 63 %, 12519 MiB, 178.04 W
2026/09/04 21:10:53.724, 99 %, 12519 MiB, 173.16 W
2026/09/04 21:10:55.725, 95 %, 12519 MiB, 193.59 W
2026/09/04 21:10:57.725, 61 %, 12519 MiB, 179.85 W
2026/09/04 21:10:59.725, 100 %, 12519 MiB, 180.04 W
2026/09/04 21:11:01.726, 98 %, 12519 MiB, 197.20 W
2026/09/04 21:11:03.726, 19 %, 12519 MiB, 173.04 W
2026/09/04 21:11:05.726, 18 %, 12519 MiB, 104.00 W
2026/09/04 21:11:07.727, 22 %, 12519 MiB, 101.66 W
2026/09/04 21:11:09.727, 100 %, 12519 MiB, 128.25 W
2026/09/04 21:11:11.727, 99 %, 12519 MiB, 165.18 W
2026/09/04 21:11:13.728, 93 %, 12519 MiB, 181.03 W
2026/09/04 21:11:15.728, 50 %, 12519 MiB, 162.33 W
2026/09/04 21:11:17.728, 100 %, 12519 MiB, 188.34 W
2026/09/04 21:11:19.729, 74 %, 12519 MiB, 187.74 W
2026/09/04 21:11:21.729, 83 %, 12519 MiB, 212.82 W
2026/09/04 21:11:23.730, 80 %, 12519 MiB, 189.65 W
2026/09/04 21:11:25.730, 98 %, 12519 MiB, 171.21 W
2026/09/04 21:11:27.730, 66 %, 12519 MiB, 184.51 W
2026/09/04 21:11:29.730, 20 %, 12519 MiB, 123.31 W
2026/09/04 21:11:31.731, 22 %, 12519 MiB, 100.11 W
2026/09/04 21:11:33.731, 99 %, 12519 MiB, 172.74 W
2026/09/04 21:11:35.732, 100 %, 12519 MiB, 174.47 W
2026/09/04 21:11:37.732, 62 %, 12519 MiB, 188.45 W
2026/09/04 21:11:39.732, 20 %, 12519 MiB, 121.92 W
2026/09/04 21:11:41.733, 22 %, 12519 MiB, 99.51 W
2026/09/04 21:11:43.733, 23 %, 12519 MiB, 103.69 W
2026/09/04 21:11:45.733, 99 %, 12519 MiB, 162.68 W
2026/09/04 21:11:47.734, 65 %, 12519 MiB, 175.99 W
2026/09/04 21:11:49.734, 76 %, 12519 MiB, 180.75 W
2026/09/04 21:11:51.735, 22 %, 12519 MiB, 111.82 W
2026/09/04 21:11:53.735, 23 %, 12519 MiB, 104.01 W
2026/09/04 21:11:55.735, 20 %, 12519 MiB, 118.66 W
2026/09/04 21:11:57.736, 97 %, 12519 MiB, 164.04 W
2026/09/04 21:11:59.736, 59 %, 12519 MiB, 191.38 W
2026/09/04 21:12:01.736, 20 %, 12519 MiB, 162.05 W
2026/09/04 21:12:03.737, 23 %, 12519 MiB, 103.05 W
2026/09/04 21:12:05.737, 20 %, 12519 MiB, 101.15 W
2026/09/04 21:12:07.737, 90 %, 12519 MiB, 157.13 W
2026/09/04 21:12:09.738, 86 %, 12519 MiB, 165.63 W
2026/09/04 21:12:11.738, 97 %, 12519 MiB, 173.25 W
2026/09/04 21:12:13.738, 21 %, 12519 MiB, 125.19 W
2026/09/04 21:12:15.739, 56 %, 12519 MiB, 145.60 W
2026/09/04 21:12:17.739, 99 %, 12519 MiB, 177.02 W
2026/09/04 21:12:19.739, 97 %, 12519 MiB, 187.63 W
2026/09/04 21:12:21.740, 29 %, 12519 MiB, 183.80 W
2026/09/04 21:12:23.740, 22 %, 12519 MiB, 109.73 W
2026/09/04 21:12:25.740, 19 %, 12519 MiB, 98.84 W
2026/09/04 21:12:27.741, 40 %, 12519 MiB, 129.10 W
2026/09/04 21:12:29.741, 87 %, 12519 MiB, 162.05 W
2026/09/04 21:12:31.742, 73 %, 12519 MiB, 177.34 W
2026/09/04 21:12:33.742, 20 %, 12519 MiB, 121.18 W
2026/09/04 21:12:35.742, 52 %, 12519 MiB, 134.59 W
2026/09/04 21:12:37.743, 99 %, 12519 MiB, 174.60 W
2026/09/04 21:12:39.743, 44 %, 12519 MiB, 176.78 W
